Age,Attrition,BusinessTravel,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_bin,DistanceFromHome_bin,MonthlyIncome_bin,NumCompaniesWorked_bin,TotalWorkingYears_bin,TrainingTimesLastYear_bin,YearsAtCompany_bin,YearsInCurrentRole_bin,YearsSinceLastPromotion_bin,YearsWithCurrManager_bin
0.5476190476190477,1,1,0.0,2,2,0,3,2,4,1,0.320061649113794,0.9411764705882353,1,3,1,0.2807017543859649,0.0,1,0.3333333333333333,0.27586206896551724,0.0,0.3448275862068966,3,1,2,5,2,1,2,2,1,2
0.7380952380952379,0,2,0.25,1,3,1,2,2,2,2,0.26464166452607246,0.11764705882352941,0,4,4,0.3508771929824561,0.625,3,0.5555555555555556,0.48275862068965514,0.13333333333333333,0.48275862068965514,4,2,2,1,2,4,3,3,1,3
0.4523809523809524,1,1,0.03571428571428571,2,4,1,2,1,3,1,0.0694194708451066,0.7058823529411764,1,3,2,0.24561403508771928,0.625,3,0.0,0.0,0.0,0.0,3,1,1,4,2,4,1,1,1,1
0.35714285714285715,0,2,0.07142857142857142,4,4,0,3,1,3,2,0.12201387105060366,0.11764705882352941,1,3,3,0.2807017543859649,0.625,3,0.4444444444444444,0.48275862068965514,0.4,0.0,2,1,1,1,2,4,3,3,2,1
0.21428571428571425,0,1,0.03571428571428571,1,1,1,3,1,2,2,0.1579116362702286,1.0,0,3,4,0.21052631578947367,0.625,3,0.1111111111111111,0.13793103448275862,0.26666666666666666,0.13793103448275862,2,1,1,5,2,4,1,1,2,1
0.3333333333333333,0,2,0.03571428571428571,2,4,1,3,1,4,1,0.1322245055227331,0.0,0,3,3,0.2807017543859649,0.375,2,0.38888888888888884,0.48275862068965514,0.4,0.41379310344827586,2,1,1,1,2,2,2,3,2,3
0.976190476190476,0,1,0.07142857142857142,3,3,0,4,1,1,2,0.10666581042897508,0.47058823529411764,1,4,1,0.42105263157894735,0.625,2,0.05555555555555555,0.0,0.0,0.0,5,1,1,3,3,4,1,1,1,1
0.28571428571428564,0,1,0.8214285714285714,1,4,1,3,1,3,0,0.10814282044695608,0.11764705882352941,0,4,2,0.03508771929824561,0.375,3,0.05555555555555555,0.0,0.0,0.0,2,5,1,1,1,2,1,1,1,1
0.4761904761904761,0,2,0.7857142857142857,3,4,1,2,3,3,1,0.5469432314410481,0.0,0,4,2,0.3508771929824561,0.375,3,0.5,0.48275862068965514,0.13333333333333333,0.5517241379310345,3,4,3,1,2,2,3,3,1,3
0.42857142857142855,0,1,0.9285714285714285,3,3,1,3,2,3,2,0.2715129720010275,0.7058823529411764,0,3,2,0.5964912280701754,0.625,2,0.38888888888888884,0.48275862068965514,0.9333333333333333,0.48275862068965514,3,5,2,4,3,4,2,3,5,3
